timestamp,duty,rpm
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1350
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1290
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 16:57:09,50,1320
2025-07-15 17:00:01,40,
2025-07-15 17:00:01,40,1290
2025-07-15 17:00:01,40,1110
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1020
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1020
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1020
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1020
2025-07-15 17:00:01,40,1050
2025-07-15 17:00:01,40,1050
